id,label,description,url,x,y,cluster,weight<Links>,weight<Total link strength>,weight<Citations>,weight<Norm. citations>,score<Pub. year>,score<Citations>,score<Norm. citations>
585,rashid (2021),"<table><tr><td>Authors:</td><td>rashid, mamunur; bari, bifta sama; hasan, md jahid; razman, mohd azraai mohd; musa, rabiu muazu; ab nasir, ahmad fakhri; majeed, anwar p. p. abdul</td></tr><tr><td>Title:</td><td>the classification of motor imagery response: an accuracy enhancement through the ensemble of random subspace k-nn</td></tr><tr><td>Source:</td><td>peerj computer science</td></tr><tr><td>Year:</td><td>2021</td></tr></table>",https://doi.org/10.7717/peerj-cs.374,-0.706,-0.2211,1,238,485,29,1.7078,2021,29,1.7078
587,dokare (2025),"<table><tr><td>Authors:</td><td>dokare, indu; gupta, sudha</td></tr><tr><td>Title:</td><td>shap-driven explainable ai with simulated annealing for optimized seizure detection using multichannel eeg signal</td></tr><tr><td>Source:</td><td>cognitive neurodynamics, 19(1)</td></tr><tr><td>Year:</td><td>2025</td></tr></table>",https://doi.org/10.1007/s11571-025-10269-3,-0.0975,0.5688,3,97,145,5,2.5017,2025,5,2.5017
596,yang (2020a),"<table><tr><td>Authors:</td><td>yang, guosheng; jiao, rui; jiang, huiping; zhang, ting</td></tr><tr><td>Title:</td><td>ground truth dataset for eeg-based emotion recognition with visual indication</td></tr><tr><td>Source:</td><td>ieee access, 8, 188503-188514</td></tr><tr><td>Year:</td><td>2020</td></tr></table>",https://doi.org/10.1109/access.2020.3030680,1.0564,-0.0648,2,191,446,4,0.1584,2020,4,0.1584
603,jiman (2025),"<table><tr><td>Authors:</td><td>jiman, ahmad a.; attar, eyad talal</td></tr><tr><td>Title:</td><td>unsupervised clustering of pre-ictal eeg in children: a reproducible and lightweight cpu-based workflow</td></tr><tr><td>Source:</td><td>frontiers in neurology, 16</td></tr><tr><td>Year:</td><td>2025</td></tr></table>",https://doi.org/10.3389/fneur.2025.1665008,-0.1165,0.3614,3,161,199,1,0.5003,2025,1,0.5003
606,suk (2011),"<table><tr><td>Authors:</td><td>suk, heung-il; lee, seong-whan</td></tr><tr><td>Title:</td><td>subject and class specific frequency bands selection for multiclass motor imagery classification</td></tr><tr><td>Source:</td><td>international journal of imaging systems and technology, 21(2), 123-130</td></tr><tr><td>Year:</td><td>2011</td></tr></table>",https://doi.org/10.1002/ima.20283,-0.9154,-0.2829,1,215,453,83,2.1197,2011,83,2.1197
620,al-hadeethi (2020),"<table><tr><td>Authors:</td><td>al-hadeethi, hanan; abdulla, shahab; diykh, mohammed; deo, ravinesh c.; green, jonathan h.</td></tr><tr><td>Title:</td><td>adaptive boost ls-svm classification approach for time-series signal classification in epileptic seizure diagnosis applications</td></tr><tr><td>Source:</td><td>expert systems with applications, 161</td></tr><tr><td>Year:</td><td>2020</td></tr></table>",https://doi.org/10.1016/j.eswa.2020.113676,-0.3036,0.9018,3,92,371,68,2.6935,2020,68,2.6935
622,li (2013),"<table><tr><td>Authors:</td><td>li, peiyang; xu, peng; zhang, rui; guo, lanjin; yao, dezhong</td></tr><tr><td>Title:</td><td>l1 norm based common spatial patterns decomposition for scalp eeg bci</td></tr><tr><td>Source:</td><td>biomedical engineering online, 12</td></tr><tr><td>Year:</td><td>2013</td></tr></table>",https://doi.org/10.1186/1475-925x-12-77,-0.9403,-0.2389,1,197,412,32,1.36,2013,32,1.36
629,ogino (2018),"<table><tr><td>Authors:</td><td>ogino, mikito; mitsukura, yasue</td></tr><tr><td>Title:</td><td>portable drowsiness detection through use of a prefrontal single-channel electroencephalogram</td></tr><tr><td>Source:</td><td>sensors, 18(12)</td></tr><tr><td>Year:</td><td>2018</td></tr></table>",https://doi.org/10.3390/s18124477,-0.0234,0.2021,3,151,200,66,3.0765,2018,66,3.0765
634,sayilgan (2022),"<table><tr><td>Authors:</td><td>sayilgan, e.; yuce, y. k.; isler, y.</td></tr><tr><td>Title:</td><td>investigating the effect of flickering frequency pair and mother wavelet selection in steady-state visually-evoked potentials on two-command brain-computer interfaces</td></tr><tr><td>Source:</td><td>irbm, 43(6), 594-603</td></tr><tr><td>Year:</td><td>2022</td></tr></table>",https://doi.org/10.1016/j.irbm.2022.04.006,-0.5543,0.0144,1,179,253,13,0.9089,2022,13,0.9089
636,gaur (2016),"<table><tr><td>Authors:</td><td>gaur, pramod; pachori, rain bilas; wang, hui; prasad, girijesh</td></tr><tr><td>Title:</td><td>a multivariate empirical mode decomposition based filtering for subject independent bci</td></tr><tr><td>Source:</td><td>2016 27th irish signals and systems conference (issc)</td></tr><tr><td>Year:</td><td>2016</td></tr></table>",,-0.788,0.0476,1,189,286,3,0.1352,2016,3,0.1352
